,production_company,number_of_movies
18721,Lion's Gate Films,10
31076,"Zespol Filmowy ""Perspektywa""",10
25791,SamFilm Produktion,10
26033,Schramm Film Koerner & Weber,10
18412,Les Films Vision 4,10
19143,Lyca Productions,10
625,A-1 Pictures,10
18473,Les Films du Poisson,10
16544,Jack Schwarz Productions,9
22436,Open Road Films (II),9
5039,Block 2 Pictures,9
4212,Bavaria Atelier,9
22864,Panoramic Productions,9
26076,Scott R. Dunlap Productions,9
28449,Terrafilm,9
4623,Beyond Infinity,9
8102,Columbia British Productions,9
28394,Televicine S.A. de C.V.,9
27289,Sree Lakshmi Prasanna Pictures,9
6477,Caracol Televisión,9
27451,Status Media & Entertainment,9
25917,Saregama India,9
23866,Pritish Nandy Communications (PNC),9
10602,Egmond Film & Television,9
24740,Red Giant Movies,9
17148,Kaijyu Theater,9
7811,Cité-Amérique,9
13750,Gibraltar Entertainment,9
14044,Goldmine Tele Films,9
10573,Edward L. Alperson Productions,9
27271,Spéva Films,9
1606,Alebrije Cine y Video,9
8582,Cranium Entertainment,9
16389,Itami Productions,9
9719,Dieter Geissler Filmproduktion,9
10949,Endgame Entertainment,9
24092,Projektions-AG Union (PAGU),9
10948,Enderby Entertainment,9
6888,Chang's Film Company,9
2664,Arcadia Motion Pictures,9
1555,Albert Zugsmith Productions,9
20582,Miles Films,9
18411,Les Films Velvet,9
10421,ESX Entertainment,9
28192,Taewon Entertainment,9
12286,Filmko Pictures,9
22858,Panorama Film A/S,9
13400,GMM Tai Hub (GTH),9
15568,IFC Productions,9
19977,Maruti International,9
18975,Lotte Entertainment,9
23072,Pathé Exchange,9
4548,Bergman Lustig Productions,9
17661,Koktebel Film Company,9
10759,Elia Films,9
30810,Wytwórnia Filmów Dokumentalnych i Fabularnych (WFDiF),9
19741,Mandragora,9
12477,Fine & Mellow Productions,9
24911,Renato Aragão Produções Cinematográficas,9
23076,Pathé Pictures International,9
20794,Mod Producciones,9
17392,KeyFilm,9
6435,Capital Films,9
28045,Synthetic Cinema International,9
22506,Oriental Light and Magic (OLM),9
4233,Bayerischer Banken-Fonds,9
10727,Element Pictures,9
22743,Paco Cinematografica,9
8428,"Copercines, Cooperativa Cinematográfica",9
15324,Horipro,9
24217,Pure Flix Entertainment,9
16841,Johnson Production Group,9
15313,Hope Enterprises,9
24629,Rastar Pictures,9
8957,DC Entertainment,9
14479,Guest House Films,9
8117,Column Film,9
12337,Films 7,9
12008,Film Fund FUZZ,9
17002,Justice for All Productions,9
4255,Beacon Communications,9
9849,Disney Television Animation,9
23291,Peter Walker (Heritage) Ltd.,9
6694,Caviar Films,9
6424,Capella International,9
6588,Casa de Cinema de Porto Alegre,9
11737,Fastnet Films,9
3664,B.P. Schulberg Productions,9
19235,MACT Productions,9
9763,Dijital Sanatlar Production,9
4073,Bangor Films,9
19714,Management Company Entertainment Group (MCEG),9
10825,Elysium Bandini Studios,9
8484,Corporación Nacional Cinematográfica (CONACINE),9
8366,Continental Films,9
16686,Jean Vigo Italia,9
4217,Bavaria Filmverleih- und Produktions GmbH,9
18368,Les Films Copernic,9
2553,ApolloMedia Distribution,9
10066,Double Helix Films,9
12612,Five Star Production Co. Ltd.,9
2060,American Cinema Productions,9
31268,Ízaro Films,9
21096,Movie Impact Limited,9
2728,Arenafilm,9
20432,Metro-Goldwyn Pictures Corporation,9
17247,Kargah Azad Film,9
26520,Shree Krishna International,9
16207,Interscope Communications,9
2758,Argosy Pictures,9
9464,Delante Films,9
7738,Cinéphonic,9
3190,Associated Talking Pictures (ATP),9
26517,Shree Ashtavinayak Cine Vision,9
4005,Baltimore Pictures,9
28819,Thirukumaran Entertainment,9
11020,Entre Chien et Loup,9
28744,The Tyler Perry Company,9
20463,Mezhrabpomfilm,9
14092,Good Machine,9
30580,Wild Bunch,9
6969,Charter Film Productions,9
237,2CFilm,9
9915,Documentary & Experimental Film Center,9
6973,Chartoff-Winkler Productions,9
2776,ArieScope Pictures,9
30103,Village Roadshow Pictures,9
16141,Interfilm,9
30640,Win's Entertainment Ltd.,9
17326,Kazak Productions,9
1872,Alpha TV,9
7743,Cinétel,9
23681,Porchlight Films,9
28131,TMC Film,9
11208,Etalon Film,9
13182,Fu Works,9
30617,William Conrad Productions,9
976,Aamir Khan Productions,9
18387,Les Films Marceau,9
11072,Ere Kokkonen,9
20297,Mei Ah Films Production Co. Ltd.,9
25434,Royal Film,9
23657,Pooya Film,9
25377,Ross Hunter Productions,9
25947,Sathya Jyothi Films,9
5433,Boyut Film,9
25680,Sacher Film,9
12445,Filmwerks,9
27655,Studio 100,9
28603,The Harold Lloyd Corporation,9
19058,Lucky Red,9
28105,TF1 Films Production,9
368,42,9
4203,Bauer Martinez Studios,9
30570,Wiedemann & Berg Filmproduktion,9
8780,Crystal Sky Worldwide,9
28102,TDMP,9
10995,Enterprise Productions,9
28406,Telewizja Polska (TVP),9
6872,Champs-Élysées Productions,9
1340,Aftab Pictures,8
30078,Vijaya Productions Pvt. Ltd.,8
13126,Friland,8
12805,Foresight Features,8
15980,Indy Entertainment,8
15421,Hubert Bals Fund,8
5537,Brett Kelly Entertainment,8
15429,Hugo Films,8
18100,Larco Productions,8
23025,Participant,8
16735,Jerry Lewis Productions,8
26098,Screen Ireland,8
10772,Elite Film,8
23860,Prism Entertainment Corporation,8
349,4 Kids Entertainment,8
26016,Schiwago Film,8
7439,Cinema Group Ventures,8
12488,Fineworks,8
11061,Er Film,8
792,AFC,8
5622,British Lion Films,8
8478,Coronado Productions,8
1654,Alfred J. Hitchcock Productions,8
15471,Hunt Stromberg Productions,8
22922,Paradox,8
13003,Frankovich Productions,8
18798,Live Entertainment,8
26438,Shintoho Film Distribution Committee,8
30186,Vista Street Entertainment,8
13602,Gendai Eigasha,8
22805,Palomar Pictures International,8
30804,Wy Productions,8
1906,Altamira Pictures Inc.,8
4029,Bananeira Filmes,8
25823,San Francisco Film,8
25422,Roxy Film,8
6056,CG Cinéma,8
21569,Nelson Entertainment,8
12226,Filmes Cinematografica,8
23354,Phoenix Pictures,8
7314,CineRidge Entertainment,8
19215,M.R. Productions,8
27571,Stormlight Films,8
30892,Yellow Film & TV,8
27820,Sumanth Art Productions,8
23738,Praesens-Film,8
22978,Paris Entretenimento,8
19801,Mantarraya Producciones,8
1260,Adlabs Films,8
29635,United Channel Movies,8
22224,October Films,8
782,ADK,8
4638,Bhansali Productions,8
231,2929 Productions,8
26938,Sobras International Pictures,8
5341,Bord Cadre Films,8
8107,Columbia Pictures Film Production Asia,8
30381,Warner Independent Pictures (WIP),8
5783,Buffalo 8 Productions,8
22786,Palladium Film,8
20386,Mervyn LeRoy Productions Inc.,8
25811,Samuel Goldwyn Films,8
20384,Merton Park Studios,8
28974,Tips Industries,8
25809,Samuel Bronston Productions,8
3977,Balcor Film Investors,8
11635,Faliro House Productions,8
3978,Balcázar Producciones Cinematográficas,8
28999,Tobis Filmkunst,8
10253,Dudez Productions,8
28067,T&C Film AG,8
24415,RKO Pictures,8
67,120dB Films,8
21542,Necrostorm,8
6591,Casa de Filme Trei,8
16426,J Storm,8
15648,Icon Productions,8
1710,Alka-Film Zagreb,8
16228,Intrinsic Value Films,8
2122,Amiguetes Entertainment,8
2146,Amrion,8
28574,The Film Kitchen,8
27694,Studio Filmowe Zebra,8
2211,Anarchist's Convention Films,8
239,2D Entertainment,8
12109,Film and Music Entertainment (F&ME),8
20444,Metronome Productions,8
20648,Mine Film,8
29940,Venus Records & Tapes,8
12119,Film-Clinic,8
15899,Independent Productions,8
6102,CMYLMZ Fikirsanat,8
3383,August Cinema,8
9287,Davis-Films,8
23620,Polonia Brothers Entertainment,8
14354,Greenwich Film Productions,8
23079,Pathé-Natan,8
5590,Brilliant Idea Group (BIG),8
25520,Récifilms,8
4052,Bandeira Entertainment,8
5293,Bona International Film Group,8
3711,BCDF Pictures,8
30772,World Film Services,8
1560,Albertine Productions,8
28578,The Filmakers,8
2125,Amitabh Bachchan Corporation Limited (A.B.C.L.),8
11265,Europe Film,8
7413,Cinema City & Films Co.,8
6383,Cannon Pictures,8
16584,Jaguar Productions,8
18542,Levante Film,8
3060,Arwin Productions,8
6792,Centro de Capacitación Cinematográfica (CCC),8
20277,Mega-Vision Pictures (MVP),8
4347,Beijing Culture,8
7739,Cinépix,8
11515,FJ-Filmi,8
20556,Mifune Productions Co. Ltd.,8
21556,Neha Arts,8
3744,BIG Pictures,8
21474,"Nasser Group, North",8
30154,Vishesh Films,8
5334,Booster Project,8
23566,Po' Boy Productions,8
6429,Capital Arts Entertainment,8
23060,Patagonik Film Group,8
14418,Group 3,8
18510,Les Productions de la Guéville,8
22714,PVP Cinema,8
20275,Mega Film,8
5248,Bohra Bros Productions,8
14335,GreeneStreet Films,8
26342,Shakti Films,8
28571,The Film Factory,8
8509,Cosmo Film,8
9476,Delirium,8
12184,Filmark International Ltd.,8
6590,Casa de Filme Patru,8
8824,Curb Entertainment,8
23646,Pony Canyon,8
11291,Eve Productions,8
28654,The Mirisch Production Company,8
7424,"Cinema Design, Belgrade",8
90,14 Reels Entertainment,8
7800,City Heat Productions,8
16436,J-Plan,8
10352,E4 Entertainment,8
9652,Dharamsala,8
26004,Scena Film,8
7711,Ciné-Alliance,8
9013,DNA Films,8
1086,Acar Film,8
2894,Art Films,8
19514,Magic Frames,8
27323,Sri Saiganesh Productions,8
31073,"Zespol Filmowy ""Iluzjon""",8
22045,Nostromo Pictures,8
3578,Ay Yapim,8
12407,Filmska Radna Zajednica (FRZ),8
21924,Nolita Cinema,8
2570,Applause Pictures,8
5860,Burn Later Productions,8
7029,Chesterfield Motion Pictures Corporation (I),8
28473,Th. Damaskinos & V. Michaelides,8
4166,Barunson E&A,8
4137,Barnholtz Entertainment,8
2727,Arena Productions,8
18416,Les Films d'Ici,8
17349,Kemal Film,8
4863,Bitters End,8
24475,Radar Films,8
7017,Cherokee Productions,8
12019,Film House Bas Celik,8
4169,Basara Pictures,8
28024,Sydney Box Productions,8
21001,Morningside Productions,8
4910,Black Forest Films,8
17118,Kaap Holland Film,8
11877,Fideline Films,8
28269,Taodue Film,8
6313,Caméra One,8
992,Aascar Film P.,8
16987,Juri Productions,8
2692,Archimede,8
14589,HI Film Productions,8
17024,K Sera Sera,8
19727,Mandalay Entertainment,8
14943,Heimatfilm,8
30641,Win's Film Productions,8
27896,Super Good Films,8
13856,Global Pictures,8
20871,Mongrel Media,8
27889,Suomi-Filmi,8
12435,Filmverlag der Autoren,8
13381,GFT Entertainment,8
4480,Belvision,8
24725,Red Chillies Entertainment,8
23345,Phoenician Entertainment,8
23157,Pegasus Motion Pictures,8
4868,Bizibi,8
11838,Fernando Trueba Producciones Cinematográficas,8
2699,Arcimboldo Y.K.,8
3572,Axis Films International,8
11669,Fanfare Films,8
22772,Palace Pictures,8
7828,Clap Filmes,8
28274,Tapestry Films,8
4477,Belstar Productions,8
3770,BMG Independents,8
7716,Ciné-tamaris,8
14539,Gülsah Film,8
14768,Happy Madison Productions,8
31281,Özer Film,8
6025,CBS Theatrical Films,8
26863,Slightly Distorted Productions,8
9165,Danziger Productions Ltd.,8
30185,Vista Organization,7
7223,Cimbria Film AB,7
4039,Bandai,7
7864,Claussen & Wöbke Filmproduktion GmbH,7
15812,Imperial Entertainment,7
1596,Aldamisa Entertainment,7
20154,Mayflower Productions,7
10970,Enigma Productions,7
14656,Hakuhodo,7
20166,Maïa Films,7
20507,Micheaux Film,7
25009,Rewind Film,7
12429,Filmtre,7
12149,FilmNation Entertainment,7
23833,Prime Entertainment,7
23230,Perfect World Pictures,7
18591,Libra Pictures,7
29880,Vardar Film,7
1631,Alexander-Stern Productions,7
16341,Island World,7
3140,Asian Union Film & Entertainment,7
12760,Fondo de Inversión y Estímulos al Cine (FIDECINE),7
6603,Cascade Films,7
27175,SpectreVision,7
23556,Plum Pictures,7
18357,Les Films ABC,7
3384,August Entertainment,7
17094,KM Culture Co.,7
20095,Maven Pictures,7
27706,Studio Hraných Filmov Bratislava,7
27133,Sozosha,7
10601,Eggplant Picture & Sound,7
19796,Manson International,7
25290,Rojak Films,7
19645,Major Studio Partners,7
21525,Navketan,7
10901,Empire Films,7
30775,World International Network (WIN),7
10895,Emperor Multimedia Group (EMG),7
19379,MTL Maxfilm,7
21938,Non-Stop Productions,7
29021,Toho Film (Eiga) Co. Ltd.,7
18331,Leone Film,7
21509,National Theatre Live,7
21502,National Lampoon,7
20617,Millman Productions,7
13284,Future Films,7
3382,August 1st Film Studio,7
7388,Cinema '84,7
15761,Imagine Films Entertainment,7
2658,Arca-Filmproduktion GmbH,7
4042,Bandai Entertainment Inc.,7
29040,Toloda,7
12140,FilmDistrict,7
10142,Dream Entertainment,7
7380,Cinelou Films,7
8103,Columbia Films,7
28191,Taehung Pictures,7
25313,Romana Film,7
23118,Payam Cinematic Organization,7
11836,Fernando Colomo Producciones Cinematográficas S.L.,7
2891,Art Film 80,7
9674,Diablo Entertainment (II),7
17108,KRU Studios,7
17364,Kennedy Miller Productions,7
23850,Princes Films,7
5643,Broadway Pictures,7
3584,Ayngaran International,7
5645,Broadway Video,7
7852,Classic,7
12774,Footage Films,7
12829,Formosa Productions,7
13094,Friday Film House,7
2020,Ambi Pictures,7
15847,In Your Ear Productions,7
3300,Atlas Entertainment,7
15987,Inex Film,7
9603,Deutsche Film Hansa,7
17558,Kinoproduction,7
3640,B.A. Produktion,7
13671,George Pal Productions,7
30615,William Cagney Productions,7
10497,Eaves Movie Ranch,7
5535,Breton Film Productions,7
8730,CrossDay Productions Ltd.,7
12190,Filmation Associates,7
26960,Società Italiana Cines,7
13670,George Minter Productions,7
24998,Revolution Films,7
21615,Nettlefold Films,7
15956,Individual Pictures,7
29415,Twentieth Century Fox Animation,7
5999,CAB Productions,7
11232,Eurimages,7
23193,Pennebaker Productions,7
16187,International Pictures (I),7
9347,De Warrenne Pictures,7
27941,Surinder Films,7
3792,BR Productions and Riding High Pictures,7
30622,William Goetz Productions,7
8061,Collective Development,7
1802,Allianz Filmproduktion,7
9332,De Grunwald Productions,7
16097,Instituto Português da Arte Cinematográfica e Audiovisual (IPACA),7
12234,Filmes do Tejo,7
21663,New Classics Media,7
13659,George A. Hirliman Productions,7
17315,Kavithalayaa Productions,7
2827,Armenfilm,7
16068,Insignia Films,7
27970,Svenska Filminstitutet (SFI),7
24347,R.D.Banshal & Co.,7
23743,Prakash Jha Productions,7
3292,Atlantik Film,7
12220,Filmel,7
30739,Wong Jing's Workshop Ltd.,7
16028,Initial Entertainment Group (IEG),7
10217,Drishyam Films,7
7845,Clasart Film- und Fernsehproduktion,7
19464,Madeleine Films,7
12198,Filmayer,7
1898,Alta Producción,7
3218,Astro Shaw,7
29399,Turner Pictures (I),7
24128,Proportion Productions,7
14833,Harry Popkin Productions,7
24942,Republic Pictures (II),7
740,ABC Pictures,7
5581,Brightlight Pictures,7
7562,Cinematográfica ABSA,7
19568,Magnolia Pictures,7
11855,Fever Dreams,7
12169,Filmakademie Baden-Württemberg,7
13216,Full Moon Features,7
21135,Movies Film Productions,7
22796,PalmStar Media,7
4280,Beatrice Film,7
23213,Pepito Produzioni,7
4649,Bhavya Creations,7
8621,Creative Arts Entertainment Group Inc.,7
11781,Feature Productions,7
24366,R.S. Film,7
26972,Société Nouvelle des Établissements Gaumont (SNEG),7
15855,InDigEnt (Independent Digital Entertainment),7
20188,Media 8 Entertainment,7
17815,Kurt Ulrich Filmproduktion,7
169,20th Century Fox Brazil,7
12156,FilmTeam,7
14955,Helios Productions (II),7
3600,Azteca Films,7
10438,Eagle Pictures,7
11859,Few,7
14839,Hart Sharp Entertainment,7
7016,Chernin Entertainment,7
6325,Canadian Broadcasting Corporation (CBC),7
31221,iDiC Entertainment,7
913,ASA Production & Enterprises,7
26829,Skyline Entertainment,7
3194,Association of Cinema Technicians (A.C.T.),7
16225,Intrepid Pictures,7
15917,Indian Paintbrush,7
25360,Rose Movies,7
4390,Beijing New Picture Film Co.,7
28277,Tappeluft Pictures,7
28608,The Icelandic Filmcompany,7
18908,Long Shong Pictures,7
18489,Les Productions Artistes Associés,7
20234,Mediacorp Raintree Pictures,7
3187,Associated London Films,7
28499,The Associates & Aldrich Company,7
25355,Rosa Filmes,7
21712,New Real Films,7
7567,Cinematográfica Filmex S.A.,7
1017,Abe Shuji,7
6865,ChampDog Films,7
29151,Tramp Ltd.,7
29211,Tre Vänner Produktion AB,7
22859,Panorama Films,7
27861,Sunitha Productions,7
27809,Sugarworkz,7
30477,Wessex Film Productions,7
2308,Anglo-EMI Film Distributors,7
21809,Nickel Odeon,7
21464,Narsimha Enterprises,7
24443,RT Features,7
676,A.K. Entertainments India,7
14450,Gruppo Bema,7
6946,Charles Band Productions,7
675,A.J.O.Z. Films,7
10079,Douglas Fairbanks Pictures,7
6755,Centerstage Productions,7
22605,Overture Films,7
25589,SF Studios,7
10809,Els Films de la Rambla,7
8968,DD Productions,7
4250,Beachside Films,7
23425,Pikchure Zero Entertainment,7
1318,Affirm Films,7
2285,Angel Productions,7
22915,Paradis Films,7
16985,Jupiter Generale Cinematografica,7
14512,Guru Dutt Films Pvt. Ltd.,7
12097,Film Unlimited,7
1162,Action Concept Film- und Stuntproduktion,7
16642,Jar Pictures,7
18444,Les Films de la Pléiade,7
15515,Hyperion Pictures,7
20792,Mockingbird Pictures,7
4603,Beta Film,7
8120,Comacico,7
13369,GDH 559,7
28017,Switzer Entertainment Group,7
4569,Berolina,7
18819,Lleju Productions,7
27309,Sri Lakshmi Narasimha Productions,7
23416,Pierrot,7
6294,Camisa Listrada,7
21838,Nijenhuis & de Levita Film & TV B.V.,7
7620,Cinequanon,7
16726,Jerico,7
23070,Pathé Consortium Cinéma,7
27785,Suburban Tempe Company,7
4817,Biograf Jan Sverak,7
1196,Ad hoc studios,7
13603,Gene Autry Productions,7
6262,Camasirhane,7
25035,Rhythm Boyz Entertainment,7
2365,Anime International Company (AIC),7
19877,Marianna Films,7
26182,See-Saw Films,7
8073,Collina Film,7
8230,Compton Films,7
4219,Bavaria Pictures,7
8173,Compagnia Cinematografica Mondiale (CCM),7
13818,Gladden Entertainment,7
16751,Jet Tone Production,7
7721,Cinéas,7
27859,Sundream Motion Pictures,7
673,A.J. Films,7
15468,Hunnia Filmgyár,7
20736,Miso Film,7
13910,Goalpost Pictures,7
13521,Gary Sanchez Productions,7
26478,Shooting Gallery,7
5772,Buena Vista International,7
9881,Divide/Conquer,7
4815,Bio Illusion,7
18979,Lotus Films,7
12335,Films 59,7
21486,National Cinematografica,7
633,A-Pix Entertainment,7
1199,Ada Films,7
17014,Jörn Donner Productions,7
15580,IJswater Films,7
9048,Da.Ma. Cinematografica,7
23357,Photon Kathaas,7
6444,Capitolina Produzioni Cinematografiche,7
29279,Trinacra Films,7
7107,Chiragdeep International,7
20844,Mon Voisin Productions,7
11679,FantasiaFilmi Oy,7
10726,Element Films,7
16890,Joseph E. Levine Productions,7
25159,Rizoma Films,7
28389,Telespan 2000,7
9646,Dezenove Som e Imagem,7
29277,Trimurti Films Pvt. Ltd.,7
10321,Dynamo,7
197,235 Films,7
20662,Ministero per i Beni e le Attività Culturali (MiBAC),7
15079,Hickmar Productions,7
25806,Samsa Film,7
17040,K.B.S. Productions Inc.,7
15327,Horizon Pictures,7
28709,The Safran Company,7
27332,Sri Surya Films,7
10845,Embrem Entertainment,7
3556,Awesomeness Films,7
27340,Sri Venkateswara Cine Chitra,7
15594,IMJ Entertainment,7
5128,Blue Monday Productions,7
10381,EGM Film International,7
12417,Filmstiftung Nordrhein-Westfalen,7
29011,Toei Doga,7
